sku;produto;categoria;unidade_medida;estoque_atual;estoque_minimo;estoque_maximo;consumo_medio_mensal;custo_unitario;lead_time_dias;fornecedor;deposito;classe_abc;data_ultima_movimentacao
SKU-2001;Rolamento rígido de esferas Série A-10;Rolamentos;UN;15;54;318;157;1293.51;15;Conecta Suprimentos;CD Curitiba;A;2026-05-03
SKU-2002;Porca sextavada Série B-20;Fixadores;UN;34;91;244;19;2062.78;15;Fornecedor Gama;CD Campinas;A;2026-07-31
SKU-2003;Broca de aço rápido Série C-30;Ferramentas;UN;52;76;244;95;1675.06;45;Delta Manutenção;CD Santos;A;2026-03-25
SKU-2004;Rolamento rígido de esferas Série D-40;Rolamentos;UN;59;108;189;55;1015.53;20;Delta Manutenção;CD Campinas;A;2026-02-05
SKU-2005;Sensor indutivo Série E-50;Elétrica;UN;40;62;334;30;1172.42;15;Delta Manutenção;CD Santos;A;2026-08-12
SKU-2006;Sensor indutivo Série A-60;Elétrica;UN;37;68;249;170;1323.34;20;Delta Manutenção;CD Curitiba;A;2026-07-11
SKU-2007;Rolamento rígido de esferas Série B-70;Rolamentos;UN;6;64;331;23;2161.98;45;Fornecedor Beta;CD Curitiba;A;2026-05-19
SKU-2008;Broca de aço rápido Série C-80;Ferramentas;UN;85;117;344;130;1809.72;45;Fornecedor Beta;CD Campinas;B;2026-02-22
SKU-2009;Óleo de engrenagem Série D-90;Lubrificantes;L;1;119;360;125;2440.7;30;Eixo Forte;CD Curitiba;A;2026-03-08
SKU-2010;Óleo de engrenagem Série E-100;Lubrificantes;L;19;125;444;48;875.98;15;Delta Manutenção;CD Santos;B;2026-04-22
SKU-2011;Capacete de segurança Série A-10;EPI;PAR;3;106;370;85;2325.7;7;Fornecedor Beta;CD Campinas;A;2026-03-03
SKU-2012;Sensor indutivo Série B-20;Elétrica;UN;9;56;174;155;857.61;5;Conecta Suprimentos;CD Santos;B;2026-03-26
SKU-2013;Capacete de segurança Série C-30;EPI;PAR;2;93;396;39;2102.14;10;Eixo Forte;CD Curitiba;A;2026-02-08
SKU-2014;Óleo de engrenagem Série D-40;Lubrificantes;L;31;35;216;164;1966.74;20;Atlas Componentes;CD Curitiba;A;2026-08-10
SKU-2015;Broca de aço rápido Série E-50;Ferramentas;UN;66;102;308;121;1930.72;45;Brasil Industrial;CD Santos;A;2025-11-24
SKU-2016;Contator industrial Série A-60;Elétrica;UN;4;119;199;42;727.98;5;Conecta Suprimentos;CD Campinas;A;2026-06-22
SKU-2017;Óleo de engrenagem Série B-70;Lubrificantes;L;16;136;360;162;82.5;5;Brasil Industrial;CD Campinas;A;2026-07-30
SKU-2018;Protetor auricular Série C-80;EPI;PAR;5;83;400;135;1890.41;30;Conecta Suprimentos;CD Santos;B;2025-11-21
SKU-2019;Disjuntor tripolar Série D-90;Elétrica;UN;39;40;281;171;2499.33;30;Conecta Suprimentos;CD Curitiba;A;2026-08-01
SKU-2020;Chave combinada Série E-100;Ferramentas;UN;29;50;246;69;676.79;20;Atlas Componentes;CD Santos;B;2026-06-13
SKU-2021;Capacete de segurança Série A-10;EPI;PAR;15;22;156;99;1166.93;30;Fornecedor Gama;CD Campinas;B;2026-05-18
SKU-2022;Rolamento de rolos cônicos Série B-20;Rolamentos;UN;21;137;334;121;1691.85;20;Atlas Componentes;CD Curitiba;B;2026-05-21
SKU-2023;Parafuso Allen Série C-30;Fixadores;UN;8;50;340;84;2074.14;7;Fornecedor Gama;CD Santos;B;2026-01-09
SKU-2024;Filme stretch Série D-40;Embalagens;UN;48;62;307;115;327.18;20;Fornecedor Alfa;CD Santos;A;2026-08-08
SKU-2025;Fita adesiva Série E-50;Embalagens;UN;95;110;376;179;2477.31;30;Fornecedor Beta;CD Curitiba;A;2025-12-14
SKU-2026;Rolamento autocompensador Série A-60;Rolamentos;UN;11;55;222;130;184.62;30;Delta Manutenção;CD Santos;A;2026-02-01
SKU-2027;Broca de aço rápido Série B-70;Ferramentas;UN;88;118;420;78;1719.62;20;Eixo Forte;CD Campinas;A;2026-01-31
SKU-2028;Parafuso sextavado Série C-80;Fixadores;UN;8;37;277;39;1157.64;45;Conecta Suprimentos;CD Campinas;A;2026-04-04
SKU-2029;Graxa industrial Série D-90;Lubrificantes;L;3;38;89;16;1020.35;20;Fornecedor Gama;CD Curitiba;A;2026-05-09
SKU-2030;Parafuso sextavado Série E-100;Fixadores;UN;4;43;363;46;85.94;15;Fornecedor Beta;CD Curitiba;A;2025-12-27
SKU-2031;Alicate universal Série A-10;Ferramentas;UN;11;24;174;69;1970.61;20;Delta Manutenção;CD Curitiba;A;2026-02-10
SKU-2032;Sensor indutivo Série B-20;Elétrica;UN;8;21;263;70;889.44;30;Conecta Suprimentos;CD Santos;A;2026-02-23
